Data,Period,Organisation unit,Value
t33qItEEF1p,201402,SKJI5xtKLmd,76.7
t33qItEEF1p,201402,VI8FnbLBPDD,0.0
t33qItEEF1p,201402,Udaaomim77o,0.0
t33qItEEF1p,201402,ClfJQm3Docv,99.2
t33qItEEF1p,201402,ovxDVLEpRgk,50.0
t33qItEEF1p,201402,XNmQ1GcM53S,23.0
t33qItEEF1p,201402,r7pU4IuyIJF,52.5
t33qItEEF1p,201402,oiQrJMqWJQ6,30.0
t33qItEEF1p,201402,JPl6BiRGUjp,112.0
t33qItEEF1p,201402,zi9hv7KzZVp,0.0
t33qItEEF1p,201402,FVZSGQeGAWy,23.0
t33qItEEF1p,201402,uAmB8MLWUbq,128.8
t33qItEEF1p,201402,uECirbmK3vj,110.0
t33qItEEF1p,201402,zQdh7P5efBl,35.0
t33qItEEF1p,201402,zqmymbY6VTU,117.5
t33qItEEF1p,201402,kKYdOJ0uRod,46.0
t33qItEEF1p,201402,xpXgPL892GT,66.3
t33qItEEF1p,201402,yeGUcHoOF0W,75.0
t33qItEEF1p,201402,JpOeRsaZHoG,13.8
t33qItEEF1p,201402,JWdMKPTg0HL,33.1
t33qItEEF1p,201402,yrxkpEWxooc,120.0
t33qItEEF1p,201402,gCRidS1x9ty,91.0
t33qItEEF1p,201402,ZqmBdrwI59g,68.0
t33qItEEF1p,201402,cLBvS1WGEQF,72.0
t33qItEEF1p,201402,iSzLcFdtWbX,0.0
t33qItEEF1p,201402,iE17KE2PvJf,33.3
t33qItEEF1p,201402,ZwfQDUAuF1E,88.3
t33qItEEF1p,201402,jqLcZtIyJim,73.3
t33qItEEF1p,201402,dU7dDBWWWDi,7.9
t33qItEEF1p,201402,FX5DGY6VxPS,0.0
t33qItEEF1p,201402,PoAHq41Wjsk,93.8
t33qItEEF1p,201402,NBZfDf5Rag9,113.3
t33qItEEF1p,201402,mrRGRJwEwUm,26.3
t33qItEEF1p,201402,d23ZMyDAOEE,122.5
t33qItEEF1p,201402,ldTs7l4tu6V,88.0
t33qItEEF1p,201402,MEAv0YmXK3C,0.0
t33qItEEF1p,201402,bArGQMJx5Vs,78.3
t33qItEEF1p,201402,Wl8S53qfNST,30.0
t33qItEEF1p,201402,kAyEVYlTCtX,78.3
t33qItEEF1p,201402,lqUH9qJYc2r,80.0
t33qItEEF1p,201402,jLbIZHuRAYh,112.5
t33qItEEF1p,201403,xuVsQTby6uM,38.3
t33qItEEF1p,201403,e9NLyDiExlF,64.0
t33qItEEF1p,201403,CXAJP0JoCDZ,97.0
t33qItEEF1p,201403,IKdUHYliWr5,68.8
t33qItEEF1p,201403,RUBAdXhzucO,0.0
t33qItEEF1p,201403,fS76SN2mDYs,73.5
t33qItEEF1p,201403,LbjgDaDXJRa,55.0
