Data,Period,Organisation unit,Value
odmSZSezPsY,201505,YGTBDdMQ9vr,25.0
BQeaCpVaUYB,201506,HiSkD51XNEw,22.0
XkemTADiLv4,201507,vaCcJOxMAeE,30.0
s5PaJNvYa6i,201604,JWdMKPTg0HL,150.0
BkGKNzv3Vn6,201701,iE17KE2PvJf,20.0
OKXUzudHulV,201812,AcjY7Ic6kUU,31.0
d8MsenqQaMv,201706,ikFfiR1TblB,40.0
Gk6WlfVitbC,201806,mC4qkTGiah3,80.0
smag5V5gz0s,201410,RUBAdXhzucO,40.0
g2ZhqF3DKMx,201602,jqLcZtIyJim,20.0
kuxcnLoB85c,201503,kAyEVYlTCtX,20.0
oACe0uiAmnT,201504,BwF2JaC8lCL,496.0
d8MsenqQaMv,201505,zqmymbY6VTU,20.0
BQeaCpVaUYB,201602,zQdh7P5efBl,14.0
odmSZSezPsY,201803,YGTBDdMQ9vr,102.0
XkemTADiLv4,201701,VkaywIcr0d1,18.0
vOaRpiWvl2K,201609,fS76SN2mDYs,135.0
HIfJ6JvWQmQ,201607,LbjgDaDXJRa,40.0
odmSZSezPsY,201510,RUBAdXhzucO,57.0
VRD05emEwOF,201603,zi9hv7KzZVp,22.0
XkemTADiLv4,201607,oiQrJMqWJQ6,80.0
mRVVnw1KKSL,201612,cLBvS1WGEQF,60.0
Gk6WlfVitbC,201505,ge7aE8co40H,20.0
whXQzFlRT37,201408,VI8FnbLBPDD,185.0
BQeaCpVaUYB,201411,d23ZMyDAOEE,10.0
g2ZhqF3DKMx,201702,SiFad15yKhZ,380.0
smag5V5gz0s,201601,mrRGRJwEwUm,30.0
OKXUzudHulV,201902,fS76SN2mDYs,35.0
HIfJ6JvWQmQ,201607,zi9hv7KzZVp,30.0
s5PaJNvYa6i,201606,TleFOlpaRAp,40.0
Gk6WlfVitbC,201506,TleFOlpaRAp,10.0
s5PaJNvYa6i,201605,wPQb02U3UHx,30.0
OKXUzudHulV,201901,lqUH9qJYc2r,494.0
oACe0uiAmnT,201411,wPQb02U3UHx,66.0
BkGKNzv3Vn6,201409,jqLcZtIyJim,20.0
vOaRpiWvl2K,201710,PoAHq41Wjsk,85.0
VRD05emEwOF,201407,HiSkD51XNEw,28.0
odmSZSezPsY,201701,mrRGRJwEwUm,20.0
whXQzFlRT37,201602,JpOeRsaZHoG,333.0
d8MsenqQaMv,201506,XNmQ1GcM53S,60.0
g2ZhqF3DKMx,201607,Wl8S53qfNST,30.0
BkGKNzv3Vn6,201701,oiQrJMqWJQ6,25.0
oACe0uiAmnT,201711,CXAJP0JoCDZ,383.0
s5PaJNvYa6i,201402,JPl6BiRGUjp,65.0
HIfJ6JvWQmQ,201401,mC4qkTGiah3,4.0
BkGKNzv3Vn6,201602,Wl8S53qfNST,30.0
Gk6WlfVitbC,201507,KysFcG0IQYZ,50.0
iIlheePZjCc,201507,uECirbmK3vj,20.0
s5PaJNvYa6i,201804,ldTs7l4tu6V,50.0
whXQzFlRT37,201804,gCRidS1x9ty,300.0
byrpD40AkQG,201703,SfTrvW441Q0,40.0
byrpD40AkQG,201901,uAmB8MLWUbq,90.0
whXQzFlRT37,201612,YTgby61ISnd,297.0
d8MsenqQaMv,201607,kfyFrKOKqnz,80.0
Gk6WlfVitbC,201707,r7pU4IuyIJF,50.0
BQeaCpVaUYB,201409,FSrkhOVFdOk,30.0
smag5V5gz0s,201604,wPQb02U3UHx,40.0
HIfJ6JvWQmQ,201608,LT6XGXS57II,40.0
XkemTADiLv4,201410,Udaaomim77o,40.0
kuxcnLoB85c,201902,Udaaomim77o,20.0
mRVVnw1KKSL,201402,uECirbmK3vj,80.0
OKXUzudHulV,201501,MEAv0YmXK3C,399.0
AMVejJGpKI9,201807,ClfJQm3Docv,10.0
HIfJ6JvWQmQ,201810,oiQrJMqWJQ6,80.0
vOaRpiWvl2K,201611,yrxkpEWxooc,24.0
HIfJ6JvWQmQ,201504,kfyFrKOKqnz,60.0
HIfJ6JvWQmQ,201607,JpOeRsaZHoG,35.0
BQeaCpVaUYB,201404,zi9hv7KzZVp,20.0
VRD05emEwOF,201811,vmGyHazfngO,52.0
XkemTADiLv4,201901,zi9hv7KzZVp,26.0
smag5V5gz0s,201606,CXAJP0JoCDZ,80.0
iIlheePZjCc,201702,MQ4km4gi9bz,40.0
iIlheePZjCc,201703,Wl8S53qfNST,20.0
mRVVnw1KKSL,201807,SKJI5xtKLmd,20.0
whXQzFlRT37,201702,iSzLcFdtWbX,100.0
kuxcnLoB85c,201411,dU7dDBWWWDi,380.0
oACe0uiAmnT,201609,zi9hv7KzZVp,397.0
smag5V5gz0s,201703,bArGQMJx5Vs,100.0
mRVVnw1KKSL,201807,ZqmBdrwI59g,80.0
d8MsenqQaMv,201404,HiSkD51XNEw,40.0
iIlheePZjCc,201511,dU7dDBWWWDi,60.0
vOaRpiWvl2K,201708,MQ4km4gi9bz,1.0
OKXUzudHulV,201902,gCRidS1x9ty,100.0
whXQzFlRT37,201403,MEAv0YmXK3C,3.0
byrpD40AkQG,201406,LbjgDaDXJRa,40.0
BkGKNzv3Vn6,201806,g7eN5E9RN1V,20.0
BQeaCpVaUYB,201410,R6tG0IzAhpv,46.0
mRVVnw1KKSL,201405,SfTrvW441Q0,80.0
BQeaCpVaUYB,201702,JpOeRsaZHoG,42.0
iIlheePZjCc,201810,zgh2xKB6gUo,60.0
HIfJ6JvWQmQ,201607,SiFad15yKhZ,190.0
iIlheePZjCc,201610,jLbIZHuRAYh,120.0
Gk6WlfVitbC,201804,TleFOlpaRAp,70.0
kuxcnLoB85c,201710,zgh2xKB6gUo,60.0
BkGKNzv3Vn6,201410,kKYdOJ0uRod,20.0
kuxcnLoB85c,201804,JPl6BiRGUjp,60.0
mRVVnw1KKSL,201509,QsbKIv43xwM,20.0
vOaRpiWvl2K,201403,RPNI2yciVPb,125.0
BQeaCpVaUYB,201706,iE17KE2PvJf,30.0
BkGKNzv3Vn6,201811,r7pU4IuyIJF,10.0
whXQzFlRT37,201706,PoAHq41Wjsk,300.0
smag5V5gz0s,201608,zqmymbY6VTU,30.0
g2ZhqF3DKMx,201507,fS76SN2mDYs,200.0
mRVVnw1KKSL,201505,MEAv0YmXK3C,40.0
iIlheePZjCc,201712,KysFcG0IQYZ,22.0
AMVejJGpKI9,201703,H7UhEhDlhvD,30.0
AMVejJGpKI9,201707,R6tG0IzAhpv,50.0
odmSZSezPsY,201708,zqmymbY6VTU,66.0
VRD05emEwOF,201410,XNmQ1GcM53S,36.0
kuxcnLoB85c,201508,FVZSGQeGAWy,80.0
BkGKNzv3Vn6,201603,XNmQ1GcM53S,50.0
d8MsenqQaMv,201511,jqLcZtIyJim,20.0
AMVejJGpKI9,201701,MEAv0YmXK3C,90.0
HIfJ6JvWQmQ,201502,FSrkhOVFdOk,100.0
whXQzFlRT37,201901,UdcrfRV5diV,262.0
oACe0uiAmnT,201610,ldTs7l4tu6V,393.0
odmSZSezPsY,201704,wPQb02U3UHx,60.0
byrpD40AkQG,201804,iSzLcFdtWbX,40.0
vOaRpiWvl2K,201709,Wl8S53qfNST,118.0
Gk6WlfVitbC,201604,bArGQMJx5Vs,10.0
kuxcnLoB85c,201609,jLbIZHuRAYh,60.0
Gk6WlfVitbC,201409,kAyEVYlTCtX,20.0
oACe0uiAmnT,201902,R6tG0IzAhpv,348.0
XkemTADiLv4,201705,HiSkD51XNEw,20.0
vOaRpiWvl2K,201602,cLBvS1WGEQF,509.0
d8MsenqQaMv,201808,VkaywIcr0d1,80.0
BkGKNzv3Vn6,201505,JPl6BiRGUjp,35.0
Gk6WlfVitbC,201410,Wl8S53qfNST,10.0
oACe0uiAmnT,201501,ovxDVLEpRgk,150.0
BQeaCpVaUYB,201703,LT6XGXS57II,230.0
odmSZSezPsY,201706,CXAJP0JoCDZ,140.0
iIlheePZjCc,201805,RPNI2yciVPb,120.0
smag5V5gz0s,201510,Udaaomim77o,30.0
iIlheePZjCc,201504,SKJI5xtKLmd,60.0
VRD05emEwOF,201702,dU7dDBWWWDi,138.0
OKXUzudHulV,201406,iE17KE2PvJf,483.0
smag5V5gz0s,201412,JPl6BiRGUjp,60.0
BQeaCpVaUYB,201606,gCRidS1x9ty,44.0
g2ZhqF3DKMx,201702,bArGQMJx5Vs,60.0
d8MsenqQaMv,201512,wPQb02U3UHx,60.0
BQeaCpVaUYB,201703,rKoTTNZLKaN,16.0
s5PaJNvYa6i,201410,kAyEVYlTCtX,29.0
kuxcnLoB85c,201503,r7pU4IuyIJF,20.0
s5PaJNvYa6i,201509,r7pU4IuyIJF,30.0
VRD05emEwOF,201507,mC4qkTGiah3,22.0
BkGKNzv3Vn6,201409,JWdMKPTg0HL,110.0
kuxcnLoB85c,201611,UdcrfRV5diV,46.0
BQeaCpVaUYB,201412,ZwfQDUAuF1E,50.0
AMVejJGpKI9,201901,GVj7FwVVJW5,20.0
whXQzFlRT37,201901,LT6XGXS57II,45.0
AMVejJGpKI9,201510,cLBvS1WGEQF,50.0
s5PaJNvYa6i,201901,vmGyHazfngO,21.0
odmSZSezPsY,201610,yeGUcHoOF0W,80.0
whXQzFlRT37,201607,tU13hbRnCGc,7.0
AMVejJGpKI9,201403,dU7dDBWWWDi,30.0
iIlheePZjCc,201711,TleFOlpaRAp,20.0
byrpD40AkQG,201511,XNmQ1GcM53S,60.0
kuxcnLoB85c,201808,bArGQMJx5Vs,50.0
vOaRpiWvl2K,201604,uAmB8MLWUbq,489.0
OKXUzudHulV,201710,YTgby61ISnd,478.0
byrpD40AkQG,201506,ldTs7l4tu6V,60.0
HIfJ6JvWQmQ,201710,gCRidS1x9ty,220.0
AMVejJGpKI9,201609,NvLvW1v4MWY,70.0
kuxcnLoB85c,201602,MQ4km4gi9bz,20.0
g2ZhqF3DKMx,201402,FVZSGQeGAWy,80.0
s5PaJNvYa6i,201608,xpXgPL892GT,60.0
s5PaJNvYa6i,201711,d23ZMyDAOEE,60.0
d8MsenqQaMv,201902,iE17KE2PvJf,60.0
d8MsenqQaMv,201604,oiQrJMqWJQ6,40.0
vOaRpiWvl2K,201802,wpPJRac8Zpf,24.0
Gk6WlfVitbC,201512,RPNI2yciVPb,60.0
byrpD40AkQG,201612,NvLvW1v4MWY,160.0
oACe0uiAmnT,201812,oiQrJMqWJQ6,396.0
vOaRpiWvl2K,201707,RyzLT9D4nQ6,395.0
Gk6WlfVitbC,201902,LbjgDaDXJRa,30.0
byrpD40AkQG,201803,dU7dDBWWWDi,30.0
smag5V5gz0s,201712,FVZSGQeGAWy,90.0
kuxcnLoB85c,201411,YGTBDdMQ9vr,40.0
smag5V5gz0s,201711,ZwfQDUAuF1E,50.0
whXQzFlRT37,201510,NvLvW1v4MWY,30.0
BQeaCpVaUYB,201608,XNmQ1GcM53S,31.0
whXQzFlRT37,201506,vaCcJOxMAeE,468.0
odmSZSezPsY,201811,ZwfQDUAuF1E,40.0
odmSZSezPsY,201812,FVZSGQeGAWy,180.0
XkemTADiLv4,201609,IKdUHYliWr5,224.0
s5PaJNvYa6i,201612,kfyFrKOKqnz,53.0
q5vvAyTR1iH,201402,NBZfDf5Rag9,760.0
XkemTADiLv4,201901,JpOeRsaZHoG,56.0
iIlheePZjCc,201505,VI8FnbLBPDD,20.0
d8MsenqQaMv,201706,uECirbmK3vj,180.0
BQeaCpVaUYB,201402,FVZSGQeGAWy,36.0
oACe0uiAmnT,201602,wgWlZhxXfS5,188.0
odmSZSezPsY,201410,NBZfDf5Rag9,40.0
HIfJ6JvWQmQ,201507,jqLcZtIyJim,20.0
oACe0uiAmnT,201405,yeGUcHoOF0W,381.0
g2ZhqF3DKMx,201604,UdcrfRV5diV,40.0
BQeaCpVaUYB,201803,AcjY7Ic6kUU,6.0
odmSZSezPsY,201807,SKJI5xtKLmd,80.0
Gk6WlfVitbC,201706,HiSkD51XNEw,160.0
g2ZhqF3DKMx,201404,SiFad15yKhZ,1440.0
XkemTADiLv4,201704,AcjY7Ic6kUU,24.0
Gk6WlfVitbC,201709,R6tG0IzAhpv,60.0
oACe0uiAmnT,201701,q6NwSRm7CoV,485.0
iIlheePZjCc,201703,RQiyqxziOzo,40.0
d8MsenqQaMv,201811,H3BDe6vY03G,100.0
iIlheePZjCc,201603,gCRidS1x9ty,120.0
Gk6WlfVitbC,201504,zQdh7P5efBl,40.0
whXQzFlRT37,201703,H7UhEhDlhvD,35.0
odmSZSezPsY,201711,kfyFrKOKqnz,58.0
whXQzFlRT37,201408,PoAHq41Wjsk,764.0
AMVejJGpKI9,201602,LbjgDaDXJRa,20.0
odmSZSezPsY,201403,mrRGRJwEwUm,30.0
mRVVnw1KKSL,201810,JPl6BiRGUjp,100.0
iIlheePZjCc,201706,cLBvS1WGEQF,160.0
byrpD40AkQG,201610,tU13hbRnCGc,10.0
BkGKNzv3Vn6,201608,MEAv0YmXK3C,2.0
OKXUzudHulV,201604,fS76SN2mDYs,173.0
oACe0uiAmnT,201510,JpOeRsaZHoG,117.0
mRVVnw1KKSL,201711,ikFfiR1TblB,40.0
VRD05emEwOF,201608,yrxkpEWxooc,20.0
BkGKNzv3Vn6,201403,oiQrJMqWJQ6,100.0
VRD05emEwOF,201610,uECirbmK3vj,69.0
d8MsenqQaMv,201607,cLBvS1WGEQF,60.0
g2ZhqF3DKMx,201706,oiQrJMqWJQ6,146.0
byrpD40AkQG,201807,SKJI5xtKLmd,10.0
BkGKNzv3Vn6,201408,vmGyHazfngO,48.0
