Data,Period,Organisation unit,Value
KNrK5VWTZkx,201606,UdcrfRV5diV,1323.0
pMbuvKvH4rg,201505,dU7dDBWWWDi,232.0
pMbuvKvH4rg,201612,SfTrvW441Q0,314.0
JOnT3OiMd5o,201508,VI8FnbLBPDD,96.0
KNrK5VWTZkx,201605,tS66Amr7xbP,204.0
JOnT3OiMd5o,201504,VI8FnbLBPDD,96.0
bPQDV3mud0v,201606,jLbIZHuRAYh,2034.0
pMbuvKvH4rg,201501,dU7dDBWWWDi,232.0
KNrK5VWTZkx,201601,tS66Amr7xbP,204.0
pMbuvKvH4rg,201609,YTgby61ISnd,119.0
KNrK5VWTZkx,201603,FX5DGY6VxPS,651.0
KNrK5VWTZkx,201610,xuVsQTby6uM,604.0
KNrK5VWTZkx,201504,tU13hbRnCGc,204.0
pMbuvKvH4rg,201609,NvLvW1v4MWY,266.0
JOnT3OiMd5o,201606,gCRidS1x9ty,542.0
JOnT3OiMd5o,201511,VI8FnbLBPDD,96.0
KNrK5VWTZkx,201508,uAmB8MLWUbq,2200.0
JOnT3OiMd5o,201605,rKoTTNZLKaN,71.0
pMbuvKvH4rg,201605,YTgby61ISnd,119.0
KNrK5VWTZkx,201607,FX5DGY6VxPS,651.0
JOnT3OiMd5o,201609,rKoTTNZLKaN,71.0
bPQDV3mud0v,201602,jLbIZHuRAYh,2034.0
KNrK5VWTZkx,201511,tU13hbRnCGc,204.0
pMbuvKvH4rg,201601,NvLvW1v4MWY,266.0
pMbuvKvH4rg,201605,NvLvW1v4MWY,266.0
pMbuvKvH4rg,201612,NvLvW1v4MWY,266.0
KNrK5VWTZkx,201602,UdcrfRV5diV,1323.0
bPQDV3mud0v,201612,JPl6BiRGUjp,3918.0
JOnT3OiMd5o,201611,JpOeRsaZHoG,285.0
pMbuvKvH4rg,201601,YTgby61ISnd,119.0
pMbuvKvH4rg,201612,YTgby61ISnd,119.0
KNrK5VWTZkx,201606,uAmB8MLWUbq,2200.0
bPQDV3mud0v,201612,kKYdOJ0uRod,2447.0
KNrK5VWTZkx,201603,fS76SN2mDYs,2932.0
bPQDV3mud0v,201607,MQ4km4gi9bz,540.0
bPQDV3mud0v,201603,MQ4km4gi9bz,540.0
pMbuvKvH4rg,201601,SfTrvW441Q0,314.0
KNrK5VWTZkx,201611,AcjY7Ic6kUU,265.0
JOnT3OiMd5o,201602,gCRidS1x9ty,542.0
pMbuvKvH4rg,201607,ClfJQm3Docv,508.0
bPQDV3mud0v,201610,xpXgPL892GT,2296.0
JOnT3OiMd5o,201601,rKoTTNZLKaN,71.0
KNrK5VWTZkx,201508,tU13hbRnCGc,204.0
KNrK5VWTZkx,201511,uAmB8MLWUbq,2200.0
pMbuvKvH4rg,201610,yrxkpEWxooc,90.0
KNrK5VWTZkx,201610,FX5DGY6VxPS,651.0
pMbuvKvH4rg,201607,dU7dDBWWWDi,232.0
pMbuvKvH4rg,201607,tU13hbRnCGc,50.0
JOnT3OiMd5o,201606,VI8FnbLBPDD,84.0
pMbuvKvH4rg,201603,ClfJQm3Docv,508.0
pMbuvKvH4rg,201605,SfTrvW441Q0,314.0
pMbuvKvH4rg,201609,SfTrvW441Q0,314.0
KNrK5VWTZkx,201607,fS76SN2mDYs,2932.0
pMbuvKvH4rg,201603,tU13hbRnCGc,50.0
